open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
157,157,154,4752,SIFC,155,1.95,3.00,25,157.00,2020-09-07 14:00:58
717,725,725,4142,NLBBL,700,2.07,-15.00,16,710.00,2020-09-07 14:00:58
800,800,805,950,GMFBS,790,0.62,-5.00,10,800.00,2020-09-07 14:00:58
140,143,138,6509,NGPL,139,2.9,4.00,100,142.00,2020-09-07 14:00:58
11,11,11,26900,NICGF,11,0.09,-0.01,3000,11.00,2020-09-07 14:00:58
150,150,143,1481,SADBL,143,0,0.00,573,143.00,2020-09-07 14:00:58
148,151,149,535,PFL,147,0.67,-1.00,36,148.00,2020-09-07 14:00:58
692,704,700,12623,MERO,686,0.57,-4.00,43,696.00,2020-09-07 14:00:58
142,143,144,11721,KSBBL,141,1.39,-2.00,100,142.00,2020-09-07 14:00:58
770,784,782,142,NMBMF,770,0.26,2.00,10,784.00,2020-09-07 14:00:58
426,429,429,18164,ADBL,422,1.17,-5.00,13,424.00,2020-09-07 14:00:58
812,820,812,1327,SABSL,802,0.99,8.00,10,820.00,2020-09-07 14:00:58
415,422,420,21533,UIC,408,0.71,-3.00,200,417.00,2020-09-07 14:00:58
435,435,432,5662,SBI,417,1.16,-5.00,100,427.00,2020-09-07 14:00:58
925,928,910,1130,MMFDB,895,0.22,2.00,200,912.00,2020-09-07 14:00:58
736,738,740,2783,NLG,725,0.27,-2.00,300,738.00,2020-09-07 14:00:58
740,749,743,25843,PIC,732,0.4,-3.00,131,740.00,2020-09-07 14:00:58
852,856,869,205,SMB,840,1.5,-13.00,100,856.00,2020-09-07 14:00:58
112,113,113,3243,UMHL,110,1.77,-2.00,12,111.00,2020-09-07 14:00:58
800,810,800,1248,SLBSL,790,0.5,4.00,100,804.00,2020-09-07 14:00:58
508,525,515,9244,IGI,508,0.19,-1.00,200,514.00,2020-09-07 14:00:58
460,460,484,6645,NRN,436,9.92,-48.00,10,436.00,2020-09-07 14:00:58
106,106,108,230,KRBL,105,1.85,-2.00,10,106.00,2020-09-07 14:00:58
1048,1098,999,17819,USLB,1048,9.91,99.00,22,1098.00,2020-09-07 14:00:58
1200,1200,1173,1078,GILB,1161,0.34,-4.00,255,1169.00,2020-09-07 14:00:58
56,58,57,313,KKHC,56,0,0.00,10,57.00,2020-09-07 14:00:58
457,471,463,11389,HGI,448,1.3,-6.00,230,457.00,2020-09-07 14:00:58
191,195,194,6106,MLBL,191,0,0.00,81,194.00,2020-09-07 14:00:58
709,709,709,98,MSMBS,686,1.13,-8.00,11,701.00,2020-09-07 14:00:58
739,765,750,334,MLBBL,739,1.87,14.00,10,764.00,2020-09-07 14:00:58
785,805,801,130,GGBSL,785,1.37,-11.00,20,790.00,2020-09-07 14:00:58
1072,1073,1070,105,NICAD8283,1071,0.09,1.00,25,1071.00,2020-09-07 14:00:58
880,889,883,2643,WOMI,870,0.68,6.00,99,889.00,2020-09-07 14:00:58
9,9,9,23000,LEMF,9,0,0.00,800,8.85,2020-09-07 14:00:58
108,112,106,1561,MPFL,107,1.89,2.00,21,108.00,2020-09-07 14:00:58
177,177,179,385,NFS,173,3.35,-6.00,200,173.00,2020-09-07 14:00:58
970,980,988,340,SMFBS,963,2.02,-20.00,10,968.00,2020-09-07 14:00:58
9,9,9,22800,NIBSF1,9,0.11,-0.01,2000,9.24,2020-09-07 14:00:58
8575,8600,8407,70,RBCLPO,8575,2.3,193.00,20,8600.00,2020-09-07 14:00:58
90,90,91,6265,MHNL,85,6.59,-6.00,10,85.00,2020-09-07 14:00:58
117,119,115,3490,GRDBL,116,1.74,2.00,50,117.00,2020-09-07 14:00:58
296,299,299,802,EDBL,296,0,0.00,10,299.00,2020-09-07 14:00:58
922,930,935,130,VLBS,922,1.28,-12.00,13,923.00,2020-09-07 14:00:58
6397,6397,6272,10,BNT,6397,1.99,125.00,10,6397.00,2020-09-07 14:00:58
127,127,129,813,GMFIL,125,2.33,-3.00,20,126.00,2020-09-07 14:00:58
700,713,709,396,NSEWA,695,0.56,4.00,34,713.00,2020-09-07 14:00:58
151,151,150,12530,GBIMEP,151,0.67,1.00,12530,151.00,2020-09-07 14:00:58
169,170,170,882,TMDBL,169,0,0.00,30,170.00,2020-09-07 14:00:58
10,11,10,5600,CMF1,10,1.85,0.19,1000,10.44,2020-09-07 14:00:58
150,151,151,2141,GFCL,150,0,0.00,500,151.00,2020-09-07 14:00:58
104,104,105,450,PROFL,104,0.95,-1.00,150,104.00,2020-09-07 14:00:58
101,109,103,3860,HURJA,100,5.83,6.00,75,109.00,2020-09-07 14:00:58
125,125,126,3372,SINDU,123,0.79,-1.00,209,125.00,2020-09-07 14:00:58
1571,1571,1571,121,BBC,1571,0,0.00,121,1571.00,2020-09-07 14:00:58
123,123,123,60,CORBL,123,0,0.00,10,123.00,2020-09-07 14:00:58
193,193,196,50,UFL,193,1.53,-3.00,50,193.00,2020-09-07 14:00:58
683,696,670,453,NLBSL,683,3.94,26.38,233,696.00,2020-09-07 14:00:58
99,99,95,320,HDHPC,98,3.16,3.00,100,98.00,2020-09-07 14:00:58
1031,1031,1030,25,NIBD2082,1031,0.1,1.00,25,1031.00,2020-09-07 14:00:58
9,9,9,300,SFMF,9,0,0.00,300,9.22,2020-09-07 14:00:58
242,250,238,352820,NMBPO,242,5.04,12.00,352800,250.00,2020-09-07 14:00:58
low_price,high_price,open_price,ltp,source,volume,ltv,per_change,change_price,prev_closing,trans_date,symbol
96,101,96,100.00,,249472,72,8.7,8.00,92,2020-09-07 14:00:58,UPCL
838,885,885,845.00,,4520,28,0.35,-3.00,848,2020-09-07 14:00:58,SLBBL
120,125,122,125.00,,2390,100,0.81,1.00,124,2020-09-07 14:00:58,GUFL
419,429,429,421.00,,53153,175,1.41,-6.00,427,2020-09-07 14:00:58,NMB
909,942,942,931.00,,1014,11,1.17,-11.00,942,2020-09-07 14:00:58,SPARS
181,184,182,182.00,,8101,100,1.62,-3.00,185,2020-09-07 14:00:58,LBBL
854,880,871,863.00,,224624,40,0.92,-8.00,871,2020-09-07 14:00:58,NRIC
691,724,710,710.00,,65794,200,0.85,6.00,704,2020-09-07 14:00:58,SHIVM
856,896,870,884.00,,61843,1500,2.55,22.00,862,2020-09-07 14:00:58,RMDC
572,590,581,581.00,,23282,2400,1.53,-9.00,590,2020-09-07 14:00:58,PRIN
9,9,9,9.30,,7600,100,0.43,-0.04,9,2020-09-07 14:00:58,NMB50
172,177,172,174.00,,5572,10,0,0.00,174,2020-09-07 14:00:58,ICFC
255,262,257,258.00,,45240,24,0.77,-2.00,260,2020-09-07 14:00:58,SHPC
115,121,120,119.00,,4460,10,2.46,-3.00,122,2020-09-07 14:00:58,KPCL
56,60,58,60.00,,53940,100,1.69,1.00,59,2020-09-07 14:00:58,NHPC
197,203,203,198.00,,24197,150,1.49,-3.00,201,2020-09-07 14:00:58,NBB
9,9,9,9.00,,54000,1000,1.1,-0.10,9,2020-09-07 14:00:58,GIMES1
835,878,842,863.00,,11087,11,0.47,4.00,859,2020-09-07 14:00:58,ALBSL
133,141,135,136.00,,28458,50,5.43,7.00,129,2020-09-07 14:00:58,RLFL
143,149,145,143.00,,20947,250,1.38,-2.00,145,2020-09-07 14:00:58,CBL
561,575,566,568.00,,38664,160,1.05,-6.00,574,2020-09-07 14:00:58,SLICL
224,232,232,227.00,,5947,12,0.44,-1.00,228,2020-09-07 14:00:58,RADHI
695,706,696,700.00,,9430,119,0.71,-5.00,705,2020-09-07 14:00:58,NTC
243,250,250,243.00,,50186,50,2.8,-7.00,250,2020-09-07 14:00:58,UPPER
1389,1395,1391,1389.00,,142,35,0.65,9.00,1380,2020-09-07 14:00:58,JSLBB
301,304,302,302.00,,20332,82,0.98,-3.00,305,2020-09-07 14:00:58,SBL
166,174,174,170.00,,142816,100,3.95,-7.00,177,2020-09-07 14:00:58,AKPL
1080,1103,1090,1095.00,,12983,50,0.27,-3.00,1098,2020-09-07 14:00:58,CBBL
763,785,776,765.00,,964,10,2.8,-22.00,787,2020-09-07 14:00:58,GLBSL
106,114,114,110.00,,810,10,1.79,-2.00,112,2020-09-07 14:00:58,RRHP
576,592,591,580.00,,47737,25,1.36,-8.00,588,2020-09-07 14:00:58,NICA
842,863,863,849.00,,15222,14,0.7,-6.00,855,2020-09-07 14:00:58,NABIL
3050,3290,3161,3210.00,,42036,71,6.61,199.00,3011,2020-09-07 14:00:58,CIT
10,10,10,9.95,,2200,100,0.8,-0.08,10,2020-09-07 14:00:58,NICBF
420,441,428,435.00,,14963,50,1.64,7.00,428,2020-09-07 14:00:58,CHCL
277,283,283,277.00,,48075,131,1.77,-5.00,282,2020-09-07 14:00:58,PCBL
192,195,194,194.00,,45862,599,1.02,-2.00,196,2020-09-07 14:00:58,NCCB
502,512,510,509.00,,15252,10,1.17,-6.00,515,2020-09-07 14:00:58,AIL
781,803,790,794.00,,95541,196,0.51,4.00,790,2020-09-07 14:00:58,NIL
143,151,144,146.00,,6665,500,0,0.00,146,2020-09-07 14:00:58,SJCL
298,315,315,300.00,,147240,21,1.32,-4.00,304,2020-09-07 14:00:58,NBL
851,877,861,870.00,,5358,30,0.91,-8.00,878,2020-09-07 14:00:58,SIC
124,128,126,127.00,,9521,1000,2.42,3.00,124,2020-09-07 14:00:58,CFCL
550,575,575,569.00,,20082,190,0.71,4.00,565,2020-09-07 14:00:58,FMDBL
260,269,268,262.00,,66412,78,1.5,-4.00,266,2020-09-07 14:00:58,GBIME
220,224,222,221.00,,50112,467,0.9,-2.00,223,2020-09-07 14:00:58,MEGA
159,164,162,160.00,,20765,341,0.62,-1.00,161,2020-09-07 14:00:58,RHPL
335,347,344,337.00,,2010,50,0.3,-1.00,338,2020-09-07 14:00:58,MDB
471,493,476,483.00,,16408,480,0.21,-1.00,484,2020-09-07 14:00:58,EIC
208,212,209,212.00,,1710,100,0.47,1.00,211,2020-09-07 14:00:58,TRH
111,112,112,111.00,,1095,10,0.89,-1.00,112,2020-09-07 14:00:58,SFCL
171,173,173,171.00,,16856,50,1.16,-2.00,173,2020-09-07 14:00:58,CCBL
